x|P, N =  0|P, N =  1|P, N =  2|P, N =  3|P, N =  4
  0.000000000000E+00|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01| -0.100000000000E+01|  0.100000000000E+01
  0.100000000000E-01|  0.100000000000E+01| -0.980000000000E+00|  0.940600000000E+00| -0.882980000000E+00|  0.808860700000E+00
  0.200000000000E-01|  0.100000000000E+01| -0.960000000000E+00|  0.882400000000E+00| -0.771840000000E+00|  0.634891200000E+00
  0.300000000000E-01|  0.100000000000E+01| -0.940000000000E+00|  0.825400000000E+00| -0.666460000000E+00|  0.477276700000E+00
  0.400000000000E-01|  0.100000000000E+01| -0.920000000000E+00|  0.769600000000E+00| -0.566720000000E+00|  0.335219200000E+00
  0.500000000000E-01|  0.100000000000E+01| -0.900000000000E+00|  0.715000000000E+00| -0.472500000000E+00|  0.207937500000E+00
  0.600000000000E-01|  0.100000000000E+01| -0.880000000000E+00|  0.661600000000E+00| -0.383680000000E+00|  0.946672000000E-01
  0.700000000000E-01|  0.100000000000E+01| -0.860000000000E+00|  0.609400000000E+00| -0.300140000000E+00| -0.533930000000E-02
  0.800000000000E-01|  0.100000000000E+01| -0.840000000000E+00|  0.558400000000E+00| -0.221760000000E+00| -0.928128000000E-01
  0.900000000000E-01|  0.100000000000E+01| -0.820000000000E+00|  0.508600000000E+00| -0.148420000000E+00| -0.168467300000E+00
  0.100000000000E+00|  0.100000000000E+01| -0.800000000000E+00|  0.460000000000E+00| -0.800000000000E-01| -0.233000000000E+00
  0.110000000000E+00|  0.100000000000E+01| -0.780000000000E+00|  0.412600000000E+00| -0.163800000000E-01| -0.287091300000E+00
  0.120000000000E+00|  0.100000000000E+01| -0.760000000000E+00|  0.366400000000E+00|  0.425600000000E-01| -0.331404800000E+00
  0.130000000000E+00|  0.100000000000E+01| -0.740000000000E+00|  0.321400000000E+00|  0.969400000000E-01| -0.366587300000E+00
  0.140000000000E+00|  0.100000000000E+01| -0.720000000000E+00|  0.277600000000E+00|  0.146880000000E+00| -0.393268800000E+00
  0.150000000000E+00|  0.100000000000E+01| -0.700000000000E+00|  0.235000000000E+00|  0.192500000000E+00| -0.412062500000E+00
  0.160000000000E+00|  0.100000000000E+01| -0.680000000000E+00|  0.193600000000E+00|  0.233920000000E+00| -0.423564800000E+00
  0.170000000000E+00|  0.100000000000E+01| -0.660000000000E+00|  0.153400000000E+00|  0.271260000000E+00| -0.428355300000E+00
  0.180000000000E+00|  0.100000000000E+01| -0.640000000000E+00|  0.114400000000E+00|  0.304640000000E+00| -0.426996800000E+00
  0.190000000000E+00|  0.100000000000E+01| -0.620000000000E+00|  0.766000000000E-01|  0.334180000000E+00| -0.420035300000E+00
  0.200000000000E+00|  0.100000000000E+01| -0.600000000000E+00|  0.400000000000E-01|  0.360000000000E+00| -0.408000000000E+00
  0.210000000000E+00|  0.100000000000E+01| -0.580000000000E+00|  0.460000000000E-02|  0.382220000000E+00| -0.391403300000E+00
  0.220000000000E+00|  0.100000000000E+01| -0.560000000000E+00| -0.296000000000E-01|  0.400960000000E+00| -0.370740800000E+00
